TUUF EOA 
TUUG eoa 
TUUI EOB 
TUUH eob 
TWKH COB 
TWKI cob 
TWKF COC 
TWKG coc 
TXME BOB 
TXMD bob 
TXMF BOF 
TXMG bof 
U1ME aoc 
U1MD AOC 
U3LG szj 
U3LF SZJ 
U3LH szk 
U3LI SZK 
U3LN szl 
U3LM SZL 
U4TB RDC 
U4TA rdc 
U4TM rhc 
U4TN RHC 
U5PB aod 
U5PC AOD 
U5PD BOD 
U5PE bod 
U6PB ODK 
U6PC odk 
U6PD ODL 
U6PE odl 
U8TB SBI 
U8TA sbi 
U8TM scf 
U8TN SCF 
UAPB aga 
UAPC AGA 
UAPD BGA 
UAPE bga 
UEME agb 
UEMD AGB 
UFPB OBI 
UFPC obi 
UFPD OBJ 
UFPE obj 
UGTB SBF 
UGTA sbf 
UGTM scc 
UGTN SCC 
UHQF JAD 
UHQG jad 
UHQE jbd 
UHQD JBD 
UIME agc 
UIMD AGC 
UKLG sxj 
UKLF SXJ 
UKLH sxk 
UKLI SXK 
UKLN sxl 
UKLM SXL 
ULTB RBC 
ULTA rbc 
ULTM rfc 
ULTN RFC 
UMPB agd 
UMPC AGD 
UMPD BGD 
UMPE bgd 
UNPB OBK 
UNPC obk 
UNPD OBL 
UNPE obl 
UOTB VCD 
UOTA vcd 
UOTM vdb 
UOTN VDB 
UPPB SAC 
UPPC sac 
UPPD sbc 
UPPE SBC 
UQPB aoa 
UQPC AOA 
UQPD BOA 
UQPE boa 
USQF UCE 
USQG uce 
USQE udb 
USQD UDB 
UTLG qaa 
UTLF QAA 
